"nam" "prod1" "ment1" "phys" "marr" "gend" "race" "inco" "chil" "subs" "alco" "spor" "depr1" "awkw1" "prod2" "ment2" "depr2" "awkw2" "show"
"1" "Michael" 2 3 8 0 0 "White" 55 0 1 1 1 15 5 4 3 16 6 "The Office"
"2" "Pam" 3 8 7 1 1 "White" 35 2 0 1 1 8 2 3 8 8 1 "The Office"
"3" "Jim" 3 8 8 1 0 "White" 70 2 0 1 1 5 3 3 9 6 2 "The Office"
"4" "Dwight" 5 6 8 0 0 "White" 70 0 0 1 0 12 4 6 6 11 4 "The Office"
"5" "Stanley" 4 7 4 1 0 "Black" 70 1 0 1 0 13 1 5 9 13 0 "The Office"
"6" "Phyllis" 4 8 4 1 1 "White" 70 0 0 1 1 10 1 4 10 9 0 "The Office"
"7" "Creed" 1 2 4 0 0 "White" 45 0 1 1 0 NA 3 2 3 8 2 "The Office"
"8" "Meredith" 3 5 4 0 1 "White" 40 1 1 2 0 13 4 4 7 14 4 "The Office"
"9" "Oscar" 5 7 7 0 0 "Mexican American" 50 0 0 1 0 10 3 5 9 10 2 "The Office"
"10" "Angela" 4 5 7 0 1 "White" 50 0 0 1 0 9 4 6 7 10 4 "The Office"
"11" "Kevin" 2 6 2 0 0 "White" 45 0 0 1 0 14 3 3 8 13 2 "The Office"
"12" "Kelley" 3 5 5 0 1 "Indian" 40 0 0 1 0 17 2 4 5 18 1 "The Office"
"13" "Ryan" 2 2 5 0 0 "White" 40 0 1 1 0 11 2 3 2 11 1 "The Office"
"14" "Toby" 4 1 6 0 0 "White" 60 0 0 1 0 19 1 5 1 19 0 "The Office"
"15" "Andy" 3 5 7 0 0 "White" 60 0 0 1 0 16 3 4 7 15 2 "The Office"
"16" "Jan" 4 6 6 1 1 "White" 80 0 0 1 0 10 1 4 3 19 0 "The Office"
"17" "April" 1 6 4 1 1 "Mexican American" 25 0 1 1 0 15 18 3 8 14 25 "Parks and Rec"
"18" "Andy" 1 2 2 1 0 "White" 15 0 0 1 1 7 15 1 2 9 20 "Parks and Rec"
"19" "Leslie" 5 8 7 0 1 "White" 45 0 0 1 0 5 10 7 9 4 13 "Parks and Rec"
"20" "Ron" 3 8 7 0 0 "White" 55 0 0 1 1 5 5 2 10 4 6 "Parks and Rec"
"21" "Tom" 2 5 5 0 0 "Indian" 35 0 0 1 0 12 10 5 5 11 13 "Parks and Rec"
"22" "Donna" 2 7 6 0 1 "Black" 70 0 0 1 0 10 8 4 7 10 10 "Parks and Rec"
"23" "Ben" 5 8 5 0 0 "White" 65 0 0 1 0 9 10 7 9 8 13 "Parks and Rec"
"24" "Chris" 4 6 8 0 0 "White" 70 0 0 1 1 2 14 5 8 2 19 "Parks and Rec"
"25" "Gary (Larry, Jerry)" 3 5 3 1 0 "White" 40 0 0 1 0 10 16 6 5 11 22 "Parks and Rec"
"26" "Jean Ralphio" 1 1 2 0 0 "White" 10 0 1 2 0 15 19 2 2 14 26 "Parks and Rec"
"27" "Mona Lisa" 1 1 1 0 1 "White" 10 0 1 2 0 15 19 3 3 15 26 "Parks and Rec"
"28" "Ann" 5 8 8 0 1 "White" 40 0 0 1 0 9 10 7 9 8 13 "Parks and Rec"
"29" "Kyle" 3 5 2 1 1 "White" 35 NA 0 1 0 17 15 4 5 17 20 "Parks and Rec"
"30" "The Other Ron" NA NA 7 0 0 "White" 35 0 1 1 0 NA NA 3 5 5 7 "Parks and Rec"
"31" "Craig" NA NA 6 0 1 "White" 35 0 0 1 0 NA NA 4 4 15 17 "Parks and Rec"
"32" "Shauna Molwaytweep" 4 6 5 0 0 "White" 45 0 0 1 0 17 10 4 8 18 13 "Parks and Rec"
"33" "Councilman Jamm" NA NA 5 1 1 "White" 90 0 0 1 0 NA NA 1 3 18 19 "Parks and Rec"
"34" "Ethel" 2 5 2 0 0 "White" 40 0 0 1 0 10 10 2 6 11 13 "Parks and Rec"
"35" "Councilman Howser" 5 6 6 NA 1 "Black" 60 0 0 1 0 8 4 6 6 8 4 "Parks and Rec"
"36" "Tammy" NA NA 5 0 0 "White" 55 0 0 1 0 NA NA 4 5 5 5 "Parks and Rec"
"37" "Tammy II" 5 5 3 0 0 "White" 40 0 0 1 0 15 15 6 8 14 20 "Parks and Rec"
"38" "Diane" NA NA 7 1 0 "White" 90 2 0 1 0 NA NA 5 4 8 4 "Parks and Rec"
